[2023-05-08 10:43:35] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2023-05-08 10:43:59] main.DEBUG: Controller Override Test [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'catalog.compare.sidebar' element cannot be added as child to 'sidebar.additional', because the latter doesn't exist [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'sale.reorder.sidebar' element cannot be added as child to 'sidebar.additional', because the latter doesn't exist [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'wishlist_sidebar' element cannot be added as child to 'sidebar.additional', because the latter doesn't exist [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'yotpo_bottomline' tries to reorder itself towards 'product.info.addto', but their parents are different: 'product.info.main' and 'product.info.social' respectively. [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'skip_gallery_before' tries to reorder itself towards 'product.info.media.image', but their parents are different: 'skip_gallery_before.wrapper' and 'product.info.media' respectively. [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'skip_gallery_after' tries to reorder itself towards 'product.info.media.image', but their parents are different: 'skip_gallery_after.wrapper' and 'product.info.media' respectively. [] []
[2023-05-08 10:44:00] main.INFO: Broken reference: the 'product.info.review' tries to reorder itself towards 'product.info.price', but their parents are different: 'product.info.main' and 'product.info.media' respectively. [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Helper Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Helper Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:00] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
